"number","title","pageid","namespace","length","touched"
"1","メアリー1世_(イングランド女王)","26741","","25534","20220520220448"
"2","ヴィクトリア_(ドイツ皇后)","81754","","20973","20220511064128"
"3","アリス_(ヘッセン大公妃)","90897","","8258","20220530161026"
"4","ベアトリス_(イギリス王女)","91600","","6248","20210307075642"
"5","ダイアナ_(プリンセス・オブ・ウェールズ)","91976","","141459","20220614100009"
"6","キャサリン・オブ・アラゴン","105591","","58037","20220607152830"
"7","マデレーン_(スウェーデン王女)","152555","","10895","20220607100652"
"8","ヴィクトリア_(スウェーデン皇太子)","152848","","15646","20220607100745"
"9","アンナ・パヴロヴナ","166869","","5436","20210821235655"
"10","レーニエ3世","187272","","8520","20220420092855"
"11","カミラ_(コーンウォール公爵夫人)","205345","","15229","20220307131439"
"12","ポーリーヌ・ボナパルト","238638","","7573","20210613075025"
"13","オルタンス・ド・ボアルネ","293452","","7771","20210808080358"
"14","メアリー_(デンマーク皇太子妃)","349301","","4375","20210430175354"
"15","ウルリカ・エレオノーラ・アヴ・ダンマルク","359756","","4820","20210425032807"
"16","ルイーゼ・ウルリーケ・フォン・プロイセン","435875","","10854","20210910142500"
"17","アン・ネヴィル","526481","","10148","20210213112648"
"18","ゾフィー_(オーストリア大公妃)","563314","","14516","20220628012329"
"19","カロリーヌ・ド・モナコ","575149","","5078","20220510132420"
"20","イングリッド・アレクサンドラ","633259","","5574","20220513170743"
"21","ルイーセ・アウグスタ・ア・ダンマーク","715428","","11791","20210808140003"
"22","マチルド・ボナパルト","720346","","4086","20220315154416"
"23","アレクサンドラ・フョードロヴナ_(ニコライ1世皇后)","771533","","7258","20220608151658"
"24","アレクサンドラ・マンリー","791296","","7517","20210316192556"
"25","レティシア_(スペイン王妃)","791381","","10509","20220409155535"
"26","マリア・フョードロヴナ_(アレクサンドル3世皇后)","792472","","60509","20210917222431"
"27","メアリー・オブ・テック","796622","","31100","20220620080132"
"28","アレクサンドラ・オブ・デンマーク","796745","","29288","20220630145535"
"29","ウォリス・シンプソン","798479","","19858","20211210145955"
"30","キャロライン・オブ・ブランズウィック","801191","","12352","20220622182230"
"31","アン_(イギリス王女)","802309","","13766","20220429064033"
"32","マーガレット_(スノードン伯爵夫人)","802328","","10353","20220524110711"
"33","マリー・フォン・プロイセン_(1825-1889)","815389","","4769","20220414155429"
"34","マリー・フォン・プロイセン_(1855-1888)","815717","","4896","20210409124108"
"35","オーガスタ・オブ・サクス＝ゴータ","830383","","6698","20210305093700"
"36","ゾフィー・フォン・デア・プファルツ","832346","","17478","20220517023900"
"37","マリー・ファン・オラニエ＝ナッサウ","840649","","4494","20210303103851"
"38","ルイーゼ・ファン・オラニエ＝ナッサウ","840678","","4885","20211001065305"
"39","ソフィー・ファン・オラニエ＝ナッサウ","840687","","6727","20220226023301"
"40","エリザベート・ド・ベルジック","842771","","5686","20220504083329"
"41","アレクシア・ファン・オラニエ＝ナッサウ","842931","","6166","20220416132345"
"42","シャーロット・オーガスタ・オブ・ウェールズ","855969","","10941","20211103071303"
"43","アストリッド・ド・スエード","907672","","6377","20220225003609"
"44","クロティルド・クロー","914479","","7583","20220324143725"
"45","マリーア・ジョゼ・デル・ベルジョ","914594","","8550","20220225003853"
"46","エレオノーレ・マグダレーネ・フォン・プファルツ＝ノイブルク","921865","","5826","20220528123152"
"47","ゾフィー・ドロテア・フォン・ハノーファー","925188","","9345","20220527122119"
"48","ヴィルヘルミーネ・フォン・プロイセン_(1709-1758)","931544","","6886","20210409114843"
"49","キャロライン・マティルダ・オブ・ウェールズ","932543","","10665","20210808135804"
"50","キャサリン_(ケンブリッジ公爵夫人)","933073","","29608","20220604071512"
"51","マリア・ルイサ・デ・パルマ","934973","","10180","20210303103811"
"52","マリア・ピア・デ・サボイア","935804","","5696","20220329065358"
"53","マリー・アンヌ・ド・バヴィエール","937204","","4554","20211105064650"
"54","マリー・アデライード・ド・サヴォワ","937247","","6697","20220612235507"
"55","ヴィクトリア・オブ・サクス＝コバーグ＝ザールフィールド","946471","","10189","20201019044459"
"56","マルグリット・ドートリッシュ","962245","","12416","20220529104900"
"57","カロリーネ・アウグステ・フォン・バイエルン","964727","","9234","20220528134342"
"58","キャロライン・オブ・アーンズバック","965845","","18846","20210924123305"
"59","モード_(ノルウェー王妃)","970145","","5346","20210307185235"
"60","テレサ・クリスティナ・デ・ボルボン＝シシリアス","971295","","10041","20220408060359"
"61","エリザヴェータ・アレクセーエヴナ","972775","","10548","20220524170033"
"62","フリーデリケ・フォン・バーデン","974882","","4932","20220226150449"
"63","マリー・ゾフィー・フォン・デア・プファルツ","974978","","4584","20210308142449"
"64","イサベル・デ・ボルボン","974994","","4359","20211019140710"
"65","マリー・ルイーズ・ドルレアン","976311","","2537","20220411164031"
"66","バルバラ・デ・ブラガンサ","976345","","3684","20210306173323"
"67","マリア・アンナ・フォン・プファルツ＝ノイブルク","976377","","5431","20210427062837"
"68","ステファニー・ド・ボアルネ","977434","","6181","20220524174600"
"69","ルイーズ・エリザベート・ドルレアン","981485","","4364","20210306182404"
"70","シャルロット・ド・サヴォワ","981665","","4033","20210311145517"
"71","ジョゼフィーヌ・ド・ボアルネ_(スウェーデン王妃)","981677","","5543","20211001065200"
"72","マリア・ルイーザ・ディ・サヴォイア","983882","","3907","20220612235914"
"73","ソフィア・ヴィルヘルミナ・アヴ・スヴェーリエ","985191","","4857","20220227050745"
"74","ヴィクトリア・フォン・バーデン","985249","","6728","20220524183422"
"75","オーガスタ・オブ・ウェールズ","986258","","5721","20210522112754"
"76","ルイーズ・オブ・グレート・ブリテン","987292","","4087","20210307054333"
"77","カタリーナ・フォン・ヴュルテンベルク","992746","","4085","20210404060934"
"78","メアリー・オブ・グレート・ブリテン","992768","","3864","20210313111125"
"79","シャーロット_(ヴュルテンベルク王妃)","992960","","6053","20220414162909"
"80","アストリッド・ド・ベルジック","993480","","4517","20220305123349"
"81","ステファニー・ド・モナコ","993703","","5095","20220422094356"
"82","ヨゼフィーネ・フォン・バーデン","993929","","3786","20220524175823"
"83","マーガレット・オブ・コノート","994159","","6911","20210305093926"
"84","ジョゼフィーヌ＝シャルロット・ド・ベルジック","994741","","8566","20220305121657"
"85","ゾフィー・フォン・ヴュルテンベルク","995637","","5883","20210821235747"
"86","ソフィア・マグダレーナ・アヴ・ダンマルク","995860","","4785","20210808222810"
"87","エリーザベト・ルドヴィカ・フォン・バイエルン","996112","","3540","20210520062044"
"88","セシリア・アヴ・スヴェーリエ","997548","","3363","20220224140558"
"89","オリガ・フョードロヴナ","997577","","3967","20220524182719"
"90","ツェツィーリア・フォン・グリーヒェンラント","998973","","5820","20220609020542"
"91","マリア・マヌエラ・デ・ポルトゥガル","999235","","2855","20220329070506"
"92","マリア・ヨーゼファ・フォン・バイエルン","999245","","4334","20220528124834"
"93","アウグステ・フォン・バイエルン","999345","","5335","20191105104956"
"94","アメリー・ド・ボアルネ","999381","","4621","20220408051244"
"95","ソフィア_(ギリシャ王妃)","1000512","","5686","20210409115947"
"96","エリサヴェト_(ギリシャ王妃)","1001396","","3799","20210310061227"
"97","アスパシア・マノス","1001429","","5242","20180505150921"
"98","ヴィクトリア・メリタ・オブ・サクス＝コバーグ＝ゴータ","1002583","","10247","20210613100732"
"99","マリーア・クロティルデ・ディ・サヴォイア","1002681","","3155","20220224144205"
"100","マリーア・エリザベッタ・ディ・サヴォイア＝カリニャーノ","1002763","","3315","20210318195521"
"101","ジョヴァンナ・ディ・サヴォイア","1003421","","7003","20210305161742"
"102","マリア・アレクサンドロヴナ_(ザクセン＝コーブルク＝ゴータ公妃)","1004150","","8478","20210915160052"
"103","ヴィルヘルミーネ・フォン・バーデン","1006828","","4391","20220524172445"
"104","アリス・オブ・バッテンバーグ","1007225","","15117","20210807043220"
"105","アリス・エーヌ","1008249","","4377","20211125235806"
"106","ドロテア・ゾフィア・フォン・プファルツ＝ノイブルク","1010276","","5176","20210313074534"
"107","ベアトリス・オブ・サクス＝コバーグ＝ゴータ","1011587","","6428","20210613100742"
"108","マリア_(ルーマニア王妃)","1011629","","13395","20220130054818"
"109","テューラ・ア・ダンマーク_(1853-1933)","1016293","","7955","20220206090124"
"110","マリア・ヨーゼファ・フォン・ザクセン","1017877","","4661","20220404143301"
"111","アマーリエ・アウグステ・フォン・バイエルン","1017888","","7546","20210328020235"
"112","マリーア・クリスティーナ・ディ・サヴォイア","1017911","","4046","20210811140008"
"113","エリザベート・シャルロット・ド・バヴィエール","1018879","","16747","20220516121710"
"114","マリア・アントーニア・フォン・バイエルン","1018932","","4345","20210519062500"
"115","ヘンリエッテ・アーデルハイト・フォン・ザヴォイエン","1021607","","4634","20220529101416"
"116","アンナ・ヴァーサ","1022463","","3924","20210717221056"
"117","アンナ・マリーア・ドルレアンス","1024376","","6344","20220414143336"
"118","マリア・アンナ・フォン・バイエルン_(1805-1877)","1033550","","4389","20220528134507"
"119","カルロッタ・アグラエ・ドルレアンス","1035531","","5366","20210307001209"
"120","ギーゼラ・フォン・エスターライヒ","1036224","","4967","20220528134517"
"121","マリア・アンナ・フォン・ザヴォイエン","1036628","","4849","20220528134522"
"122","マリー・ジョゼフィーヌ・ド・サヴォワ","1036648","","6453","20210709022508"
"123","エリザベート・シャルロット・ドルレアン","1036706","","5251","20211119081000"
"124","マルゲリータ・ルイーザ・ディ・ボルボーネ＝オルレアンス","1036756","","3842","20220601112248"
"125","マリー・テレーズ・ド・サルデーニュ","1037955","","4528","20210707173941"
"126","ルドヴィカ・フォン・バイエルン","1038034","","10827","20220528134527"
"127","ツェツィーリエ・フォン・メクレンブルク＝シュヴェリーン","1039527","","9963","20210423053357"
"128","シャルロッテ・フォン・ベルギエン","1039626","","10978","20220528134532"
"129","イレーネ・フォン・ヘッセン＝ダルムシュタット","1040700","","3937","20220311194803"
"130","ロヴィーサ・アヴ・スヴェーリエ","1040817","","5613","20210307054813"
"131","マリー・アンヌ・ド・ブルボン","1041230","","4447","20220605081423"
"132","ルイーズ・アンリエット・ド・ブルボン＝コンティ","1043258","","4336","20210308145611"
"133","マリー・フォルテュネ・デスト＝モデーヌ","1044639","","3857","20220627122633"
"134","ルイーズ・ディアーヌ・ドルレアン","1044647","","2675","20210825093820"
"135","ルイーズ・フランソワーズ・ド・ブルボン","1044688","","4228","20200531121136"
"136","マティルデ・カロリーネ・フォン・バイエルン","1045065","","3295","20220311192316"
"137","アンヌ・ド・バヴィエール","1047315","","4209","20210910142411"
"138","マリーア・ベアトリーチェ・ディ・サヴォイア","1047937","","5031","20210307012915"
"139","アーデルグンデ・フォン・バイエルン_(1823-1914)","1048895","","3912","20210404101428"
"140","ヘレナ_(イギリス王女)","1049133","","9983","20220623170401"
"141","ヒルデガルト・フォン・バイエルン_(1825-1864)","1050031","","4032","20210317030158"
"142","ルイーズ_(アーガイル公爵夫人)","1050308","","7790","20210410115718"
"143","ルイーズ_(ファイフ公爵夫人)","1052190","","6394","20210410115644"
"144","メアリー_(ハーウッド伯爵夫人)","1052273","","9714","20210916144830"
"145","カタリナ・デ・ランカステル","1058804","","6249","20210614122855"
"146","ジビラ・フォン・ザクセン＝コーブルク＝ゴータ","1060313","","7081","20220309102539"
"147","マルゲリータ・ディ・サヴォイア_(マントヴァ公妃)","1071048","","6925","20210524085056"
"148","ヴィクトリア・アレクサンドラ_(イギリス王女)","1075350","","5307","20210807045857"
"149","ルイーズ・エリザベート・ド・ブルボン＝コンデ","1075437","","4429","20210313121013"
"150","アマーリエ・フォン・ゾルムス＝ブラウンフェルス","1075759","","5883","20210811144627"
"151","マッタ・アヴ・スヴェーリエ","1084331","","6297","20210307052854"
"152","マッタ・ルイーセ_(ノルウェー王女)","1085745","","5249","20220624204854"
"153","マリー・フォン・ザクセン＝アルテンブルク_(1818-1907)","1093219","","4979","20210410103816"
"154","マルガレーテ・フォン・ザクセン_(1840-1858)","1093246","","3063","20220404143347"
"155","マリー・フォン・ザクセン＝ヴァイマル＝アイゼナハ","1093333","","4732","20220226021934"
"156","マリア・フォン・ホーエンツォレルン＝ジグマリンゲン","1093358","","3924","20210312204654"
"157","マティルデ・イン・バイエルン","1093869","","4243","20210318195255"
"158","フリーデリケ・ツー・メクレンブルク","1102479","","16250","20220629202834"
"159","マリア_(ユーゴスラビア王妃)","1124344","","6478","20210312204629"
"160","イレアナ_(ルーマニア王女)","1124410","","5753","20210310061529"
"161","アレクサンドリーネ・フォン・バーデン","1126490","","3744","20220524181656"
"162","ルイーゼ・マルガレーテ・フォン・プロイセン","1126518","","5260","20201202131258"
"163","ヴィクトリア・フォン・プロイセン_(1866-1929)","1129801","","4354","20220413092928"
"164","シャルロッテ・フォン・プロイセン_(1860-1919)","1129832","","5114","20210409121055"
"165","マルガレーテ・フォン・プロイセン","1129859","","5466","20220413092825"
"166","マファルダ・ディ・サヴォイア","1129898","","6243","20210404005036"
"167","エレナ・ア・ロムニエイ","1132277","","5050","20220609014105"
"168","ヴィクトリア・ルイーゼ・フォン・プロイセン","1132302","","6577","20220303170134"
"169","エレナ・パヴロヴナ_(ロシア大公妃)","1143518","","5513","20210613085435"
"170","アンヌ・マリー・マルティノッジ","1160293","","3619","20210307062142"
"171","アンヌ・ジュヌヴィエーヴ・ド・ブルボン＝コンデ","1161761","","6022","20220602114313"
"172","アレクサンドラ_(ユーゴスラビア王妃)","1170630","","7808","20210422043522"
"173","ルイーズ・アデライード・ドルレアン","1190446","","2785","20210312141852"
"174","ルイーズ・マリー・アデライード・ドルレアン","1191426","","5003","20210709225451"
"175","エレナ・ウラジーミロヴナ","1215375","","6776","20220617111228"
"176","マルガレーテ・フォン・ザクセン_(1900-1962)","1226069","","4934","20220406032044"
"177","アウグステ・フォン・ヘッセン＝カッセル","1257312","","4528","20191203123225"
"178","メアリー・アデレード・オブ・ケンブリッジ","1257548","","8459","20220301113441"
"179","オーガスタ・オブ・ケンブリッジ","1257633","","6238","20220301114151"
"180","アリス・オブ・オールバニ","1258779","","8434","20210622063701"
"181","マリナ_(ケント公爵夫人)","1291815","","6252","20220527152248"
"182","ルイーゼ・フォン・プロイセン_(1838-1923)","1384308","","4052","20220227142442"
"183","アレクサンドリーネ・フォン・プロイセン_(1803-1892)","1384323","","5266","20220608151513"
"184","アマリア・デル・ピラール・デ・ボルボーン","1476114","","3131","20210801105403"
"185","マリア・ホセファ・デ・サホニア","1476870","","2974","20210307032724"
"186","マリー・ルイーズ・エリザベート・ドルレアン","1477483","","3302","20210613045047"
"187","アーデルグンデ・フォン・バイエルン_(1870-1958)","1478098","","3076","20210404101543"
"188","エリザベッタ・ディ・サッソニア","1478526","","3633","20210313032846"
"189","エリーザベト・クリスティーネ・フォン・ブラウンシュヴァイク＝ヴォルフェンビュッテル_(1746-1840)","1481658","","4432","20210404054304"
"190","フィリッピーネ・シャルロッテ・フォン・プロイセン","1481672","","5132","20210409120419"
"191","フリーデリケ・ルイーゼ・フォン・プロイセン","1481684","","3848","20210409120532"
"192","フリーデリケ・シャルロッテ・フォン・プロイセン","1481779","","3464","20210307075201"
"193","ベアトリス・オブ・ヨーク","1504347","","9092","20220429063511"
"194","ルイーゼ・フォン・プロイセン_(1680-1705)","1511437","","3708","20200906052140"
"195","ユージェニー・オブ・ヨーク","1511773","","8765","20220516032222"
"196","マリア・アントニア・デ・ナポレス・イ・シシリア","1519275","","4662","20210313104637"
"197","マリーア・テレーザ・ディ・サヴォイア_(パルマ公妃)","1519333","","4911","20220505165203"
"198","アレクサンドラ・フォン・ハノーファー_(1882-1963)","1535383","","6094","20200810154551"
"199","ルイーゼ・フォン・プロイセン_(1808-1870)","1537758","","4218","20210310064040"
"200","ブランカ2世","1541327","","4054","20220617040329"
"201","シャルロット＝マルグリット・ド・モンモランシー","1560438","","4225","20220602114041"
"202","グレース・ケリー","1572546","","15796","20220508084951"
"203","ルイーズ・ウィンザー","1590401","","11102","20220429063955"
"204","キャサリン_(ケント公爵夫人)","1590414","","3433","20200722020718"
"205","ソフィー_(ウェセックス伯爵夫人)","1590425","","6784","20210322040118"
"206","マリー＝クリスティーヌ_(マイケル王子夫人)","1590441","","10230","20210419065255"
"207","アレクサンドラ_(レディ・オギルヴィ)","1590445","","6637","20220513053451"
"208","アレクサンドリーネ・フォン・プロイセン_(1842-1906)","1590526","","3422","20210409114341"
"209","パウリーネ・フォン・ヴュルテンベルク_(1810-1856)","1601951","","3585","20210404061824"
"210","マドレーヌ・ド・フランス_(ビアナ公妃)","1603664","","4668","20211130135949"
"211","ルイーズ・ド・サヴォワ","1604590","","4817","20210404010424"
"212","アレクサンドラ_(第2代ファイフ公爵)","1605704","","4986","20220609010122"
"213","フリーデリケ・フォン・ハノーファー_(1848-1926)","1639880","","6686","20220301093449"
"214","メアリー・ヴィクトリア・ダグラス＝ハミルトン","1678043","","6557","20220424034706"
"215","マリーア・クレメンティーナ・ダズブルゴ＝ロレーナ_(1798-1881)","1688894","","3577","20220528131701"
"216","マリア・フェルディナンダ・ディ・サッソニア","1688967","","10777","20220612051234"
"217","マリア・アンナ・カロリーナ・ディ・サッソニア","1688996","","4317","20210306180139"
